
Model:xception BatchSize:16 lr:0.000200
epoch:000 batch:003000 loss:0.38441 avgloss:0.55977
AUC:0.971123 TPR_2:0.764534 TPR_3:0.530847 TPR_4:0.308896 Deepfakes
AUC:0.987833 TPR_2:0.892246 TPR_3:0.757068 TPR_4:0.579025 FaceSwap
AUC:0.978065 TPR_2:0.857923 TPR_3:0.706163 TPR_4:0.525809 Face2Face
AUC:0.948798 TPR_2:0.469585 TPR_3:0.259033 TPR_4:0.159019 Test
epoch:002 batch:021000 loss:0.15735 avgloss:0.23916
AUC:0.980847 TPR_2:0.869118 TPR_3:0.726892 TPR_4:0.572977 validset
AUC:0.969618 TPR_2:0.482444 TPR_3:0.077889 TPR_4:0.001778 stylegan_celeba
AUC:0.878303 TPR_2:0.030788 TPR_3:0.000222 TPR_4:0.000000 stylegan_ffhq
AUC:0.890568 TPR_2:0.040213 TPR_3:0.000667 TPR_4:0.000000 faceapp
AUC:0.968949 TPR_2:0.721216 TPR_3:0.475243 TPR_4:0.231233 stargan
AUC:0.975107 TPR_2:0.472575 TPR_3:0.073579 TPR_4:0.001672 pggan_v1
AUC:0.967095 TPR_2:0.392539 TPR_3:0.046214 TPR_4:0.001336 pggan_v2
AUC:0.989974 TPR_2:0.899687 TPR_3:0.783549 TPR_4:0.627351 Deepfakes
AUC:0.985071 TPR_2:0.841590 TPR_3:0.629519 TPR_4:0.415666 FaceSwap
AUC:0.989648 TPR_2:0.927742 TPR_3:0.828688 TPR_4:0.714698 Face2Face
AUC:0.957148 TPR_2:0.534310 TPR_3:0.323952 TPR_4:0.221526 Test
epoch:002 batch:024000 loss:0.34572 avgloss:0.22357
AUC:0.986130 TPR_2:0.862614 TPR_3:0.732878 TPR_4:0.550142 validset
AUC:0.975398 TPR_2:0.278111 TPR_3:0.001111 TPR_4:0.000000 stylegan_celeba
AUC:0.925225 TPR_2:0.004112 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.929465 TPR_2:0.013775 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.976168 TPR_2:0.746680 TPR_3:0.433898 TPR_4:0.183316 stargan
AUC:0.977304 TPR_2:0.250279 TPR_3:0.000557 TPR_4:0.000000 pggan_v1
AUC:0.971980 TPR_2:0.169599 TPR_3:0.000557 TPR_4:0.000000 pggan_v2
AUC:0.991371 TPR_2:0.921305 TPR_3:0.788844 TPR_4:0.627969 Deepfakes
AUC:0.982231 TPR_2:0.829443 TPR_3:0.638912 TPR_4:0.480107 FaceSwap
AUC:0.988268 TPR_2:0.919338 TPR_3:0.798917 TPR_4:0.666609 Face2Face
AUC:0.968601 TPR_2:0.459182 TPR_3:0.295866 TPR_4:0.217556 Test
epoch:002 batch:027000 loss:0.02143 avgloss:0.21047
AUC:0.986974 TPR_2:0.887715 TPR_3:0.741135 TPR_4:0.582254 validset
AUC:0.978726 TPR_2:0.463222 TPR_3:0.093556 TPR_4:0.008444 stylegan_celeba
AUC:0.914446 TPR_2:0.014338 TPR_3:0.000111 TPR_4:0.000000 stylegan_ffhq
AUC:0.929534 TPR_2:0.045323 TPR_3:0.002000 TPR_4:0.000000 faceapp
AUC:0.987630 TPR_2:0.829188 TPR_3:0.504404 TPR_4:0.220235 stargan
AUC:0.978829 TPR_2:0.409253 TPR_3:0.072129 TPR_4:0.003233 pggan_v1
AUC:0.972739 TPR_2:0.301336 TPR_3:0.035635 TPR_4:0.002116 pggan_v2
AUC:0.990972 TPR_2:0.918629 TPR_3:0.771887 TPR_4:0.587952 Deepfakes
AUC:0.990440 TPR_2:0.916863 TPR_3:0.788127 TPR_4:0.634594 FaceSwap
AUC:0.991420 TPR_2:0.930123 TPR_3:0.819544 TPR_4:0.655867 Face2Face
AUC:0.970526 TPR_2:0.536475 TPR_3:0.343044 TPR_4:0.234716 Test
epoch:002 batch:030000 loss:0.02801 avgloss:0.19947
AUC:0.985866 TPR_2:0.877507 TPR_3:0.740392 TPR_4:0.588453 validset
AUC:0.948417 TPR_2:0.105000 TPR_3:0.002000 TPR_4:0.000000 stylegan_celeba
AUC:0.862803 TPR_2:0.001000 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.878842 TPR_2:0.003999 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.993870 TPR_2:0.878930 TPR_3:0.659472 TPR_4:0.404281 stargan
AUC:0.948721 TPR_2:0.097770 TPR_3:0.000892 TPR_4:0.000000 pggan_v1
AUC:0.939032 TPR_2:0.057572 TPR_3:0.000668 TPR_4:0.000000 pggan_v2
AUC:0.994351 TPR_2:0.934806 TPR_3:0.811683 TPR_4:0.642411 Deepfakes
AUC:0.990904 TPR_2:0.897824 TPR_3:0.776232 TPR_4:0.597722 FaceSwap
AUC:0.987853 TPR_2:0.900148 TPR_3:0.770409 TPR_4:0.589110 Face2Face
AUC:0.949421 TPR_2:0.430783 TPR_3:0.335706 TPR_4:0.248169 Test
epoch:003 batch:033000 loss:0.16517 avgloss:0.19002
AUC:0.984397 TPR_2:0.900938 TPR_3:0.800260 TPR_4:0.660330 validset
AUC:0.978458 TPR_2:0.566667 TPR_3:0.230222 TPR_4:0.072889 stylegan_celeba
AUC:0.898252 TPR_2:0.022785 TPR_3:0.001445 TPR_4:0.000111 stylegan_ffhq
AUC:0.899923 TPR_2:0.042657 TPR_3:0.006665 TPR_4:0.000889 faceapp
AUC:0.993377 TPR_2:0.904258 TPR_3:0.732579 TPR_4:0.515721 stargan
AUC:0.977419 TPR_2:0.500780 TPR_3:0.200111 TPR_4:0.057414 pggan_v1
AUC:0.969665 TPR_2:0.411804 TPR_3:0.134298 TPR_4:0.033964 pggan_v2
AUC:0.996593 TPR_2:0.964543 TPR_3:0.859994 TPR_4:0.724694 Deepfakes
AUC:0.987013 TPR_2:0.872164 TPR_3:0.728132 TPR_4:0.561570 FaceSwap
AUC:0.992626 TPR_2:0.941967 TPR_3:0.866777 TPR_4:0.763935 Face2Face
AUC:0.965925 TPR_2:0.580847 TPR_3:0.417803 TPR_4:0.303465 Test
epoch:003 batch:036000 loss:0.06744 avgloss:0.18191
AUC:0.986234 TPR_2:0.900220 TPR_3:0.791741 TPR_4:0.653272 validset
AUC:0.982712 TPR_2:0.560778 TPR_3:0.033556 TPR_4:0.000000 stylegan_celeba
AUC:0.918377 TPR_2:0.017450 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.922471 TPR_2:0.032882 TPR_3:0.000222 TPR_4:0.000000 faceapp
AUC:0.992114 TPR_2:0.880026 TPR_3:0.587505 TPR_4:0.235568 stargan
AUC:0.980898 TPR_2:0.489186 TPR_3:0.026979 TPR_4:0.000000 pggan_v1
AUC:0.976000 TPR_2:0.398441 TPR_3:0.010802 TPR_4:0.000111 pggan_v2
AUC:0.992079 TPR_2:0.922967 TPR_3:0.794064 TPR_4:0.613659 Deepfakes
AUC:0.996174 TPR_2:0.951467 TPR_3:0.847186 TPR_4:0.680553 FaceSwap
AUC:0.992701 TPR_2:0.954131 TPR_3:0.876618 TPR_4:0.751727 Face2Face
AUC:0.972614 TPR_2:0.578592 TPR_3:0.352993 TPR_4:0.253513 Test
epoch:003 batch:039000 loss:0.12493 avgloss:0.17482
AUC:0.990449 TPR_2:0.909827 TPR_3:0.812338 TPR_4:0.674442 validset
AUC:0.979093 TPR_2:0.465556 TPR_3:0.077333 TPR_4:0.001778 stylegan_celeba
AUC:0.913695 TPR_2:0.007002 TPR_3:0.000333 TPR_4:0.000000 stylegan_ffhq
AUC:0.916027 TPR_2:0.022217 TPR_3:0.000444 TPR_4:0.000000 faceapp
AUC:0.995018 TPR_2:0.892484 TPR_3:0.588874 TPR_4:0.151782 stargan
AUC:0.976592 TPR_2:0.383389 TPR_3:0.033110 TPR_4:0.000111 pggan_v1
AUC:0.971190 TPR_2:0.295212 TPR_3:0.023163 TPR_4:0.000445 pggan_v2
AUC:0.996766 TPR_2:0.962734 TPR_3:0.897010 TPR_4:0.766387 Deepfakes
AUC:0.990460 TPR_2:0.894477 TPR_3:0.755574 TPR_4:0.495636 FaceSwap
AUC:0.994373 TPR_2:0.958166 TPR_3:0.912588 TPR_4:0.795317 Face2Face
AUC:0.970357 TPR_2:0.542360 TPR_3:0.365381 TPR_4:0.245717 Test
epoch:004 batch:042000 loss:0.30536 avgloss:0.16846
AUC:0.987465 TPR_2:0.906856 TPR_3:0.787435 TPR_4:0.611894 validset
AUC:0.979121 TPR_2:0.442444 TPR_3:0.043222 TPR_4:0.001000 stylegan_celeba
AUC:0.904787 TPR_2:0.012337 TPR_3:0.000222 TPR_4:0.000111 stylegan_ffhq
AUC:0.910067 TPR_2:0.022217 TPR_3:0.000444 TPR_4:0.000000 faceapp
AUC:0.994646 TPR_2:0.896317 TPR_3:0.663716 TPR_4:0.404828 stargan
AUC:0.974109 TPR_2:0.349721 TPR_3:0.031104 TPR_4:0.000446 pggan_v1
AUC:0.968234 TPR_2:0.243096 TPR_3:0.012584 TPR_4:0.000334 pggan_v2
AUC:0.992980 TPR_2:0.918702 TPR_3:0.787226 TPR_4:0.611998 Deepfakes
AUC:0.992342 TPR_2:0.908064 TPR_3:0.718522 TPR_4:0.489734 FaceSwap
AUC:0.992126 TPR_2:0.967311 TPR_3:0.919091 TPR_4:0.833754 Face2Face
AUC:0.967601 TPR_2:0.528912 TPR_3:0.352903 TPR_4:0.260245 Test
epoch:004 batch:045000 loss:0.03345 avgloss:0.16276
AUC:0.986544 TPR_2:0.915928 TPR_3:0.825459 TPR_4:0.716509 validset
AUC:0.979994 TPR_2:0.566556 TPR_3:0.192222 TPR_4:0.030667 stylegan_celeba
AUC:0.930942 TPR_2:0.027454 TPR_3:0.001000 TPR_4:0.000111 stylegan_ffhq
AUC:0.932951 TPR_2:0.048434 TPR_3:0.002666 TPR_4:0.000222 faceapp
AUC:0.994091 TPR_2:0.912700 TPR_3:0.698353 TPR_4:0.399763 stargan
AUC:0.984852 TPR_2:0.537458 TPR_3:0.175697 TPR_4:0.027425 pggan_v1
AUC:0.977604 TPR_2:0.455791 TPR_3:0.104120 TPR_4:0.010913 pggan_v2
AUC:0.993123 TPR_2:0.935835 TPR_3:0.834243 TPR_4:0.714473 Deepfakes
AUC:0.993159 TPR_2:0.935452 TPR_3:0.847492 TPR_4:0.707599 FaceSwap
AUC:0.991951 TPR_2:0.933693 TPR_3:0.849315 TPR_4:0.741175 Face2Face
AUC:0.975407 TPR_2:0.594819 TPR_3:0.411679 TPR_4:0.292483 Test
epoch:004 batch:048000 loss:0.27178 avgloss:0.15780
AUC:0.984815 TPR_2:0.890642 TPR_3:0.788241 TPR_4:0.614719 validset
AUC:0.927654 TPR_2:0.108000 TPR_3:0.005222 TPR_4:0.000000 stylegan_celeba
AUC:0.817466 TPR_2:0.000222 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.825773 TPR_2:0.000889 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.995246 TPR_2:0.898416 TPR_3:0.647789 TPR_4:0.304751 stargan
AUC:0.918345 TPR_2:0.076477 TPR_3:0.003233 TPR_4:0.000223 pggan_v1
AUC:0.906829 TPR_2:0.031626 TPR_3:0.000557 TPR_4:0.000000 pggan_v2
AUC:0.996096 TPR_2:0.946792 TPR_3:0.836449 TPR_4:0.647720 Deepfakes
AUC:0.990743 TPR_2:0.887837 TPR_3:0.703802 TPR_4:0.453168 FaceSwap
AUC:0.993443 TPR_2:0.961636 TPR_3:0.903559 TPR_4:0.780265 Face2Face
AUC:0.930177 TPR_2:0.434655 TPR_3:0.344512 TPR_4:0.242903 Test
epoch:004 batch:051000 loss:0.09381 avgloss:0.15328
AUC:0.987572 TPR_2:0.912928 TPR_3:0.805852 TPR_4:0.573948 validset
AUC:0.988935 TPR_2:0.752778 TPR_3:0.388000 TPR_4:0.090889 stylegan_celeba
AUC:0.923854 TPR_2:0.057130 TPR_3:0.003779 TPR_4:0.000111 stylegan_ffhq
AUC:0.929682 TPR_2:0.085092 TPR_3:0.006221 TPR_4:0.000667 faceapp
AUC:0.995743 TPR_2:0.929905 TPR_3:0.801533 TPR_4:0.562725 stargan
AUC:0.987099 TPR_2:0.678149 TPR_3:0.300892 TPR_4:0.057748 pggan_v1
AUC:0.982713 TPR_2:0.593096 TPR_3:0.203452 TPR_4:0.031180 pggan_v2
AUC:0.992119 TPR_2:0.908643 TPR_3:0.774725 TPR_4:0.543112 Deepfakes
AUC:0.994212 TPR_2:0.934660 TPR_3:0.824747 TPR_4:0.565979 FaceSwap
AUC:0.993187 TPR_2:0.941140 TPR_3:0.867430 TPR_4:0.693578 Face2Face
AUC:0.976394 TPR_2:0.653399 TPR_3:0.463420 TPR_4:0.282888 Test
epoch:005 batch:054000 loss:0.04126 avgloss:0.14919
AUC:0.989266 TPR_2:0.920045 TPR_3:0.819609 TPR_4:0.714363 validset
AUC:0.988629 TPR_2:0.683333 TPR_3:0.112000 TPR_4:0.006556 stylegan_celeba
AUC:0.954094 TPR_2:0.043792 TPR_3:0.000333 TPR_4:0.000000 stylegan_ffhq
AUC:0.950501 TPR_2:0.038214 TPR_3:0.000444 TPR_4:0.000000 faceapp
AUC:0.995787 TPR_2:0.941770 TPR_3:0.649432 TPR_4:0.225802 stargan
AUC:0.988017 TPR_2:0.595095 TPR_3:0.064437 TPR_4:0.001784 pggan_v1
AUC:0.984589 TPR_2:0.520713 TPR_3:0.039644 TPR_4:0.001002 pggan_v2
AUC:0.990747 TPR_2:0.917893 TPR_3:0.783020 TPR_4:0.605262 Deepfakes
AUC:0.995288 TPR_2:0.967105 TPR_3:0.906480 TPR_4:0.788793 FaceSwap
AUC:0.991857 TPR_2:0.953173 TPR_3:0.888652 TPR_4:0.786506 Face2Face
AUC:0.982168 TPR_2:0.629010 TPR_3:0.382716 TPR_4:0.268412 Test
epoch:005 batch:057000 loss:0.04118 avgloss:0.14538
AUC:0.987275 TPR_2:0.910327 TPR_3:0.792406 TPR_4:0.604778 validset
AUC:0.972955 TPR_2:0.520333 TPR_3:0.041778 TPR_4:0.000556 stylegan_celeba
AUC:0.871230 TPR_2:0.011337 TPR_3:0.000111 TPR_4:0.000000 stylegan_ffhq
AUC:0.869503 TPR_2:0.013330 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.995919 TPR_2:0.912655 TPR_3:0.584402 TPR_4:0.189568 stargan
AUC:0.968283 TPR_2:0.410814 TPR_3:0.020736 TPR_4:0.000000 pggan_v1
AUC:0.960562 TPR_2:0.309354 TPR_3:0.006459 TPR_4:0.000223 pggan_v2
AUC:0.996411 TPR_2:0.940659 TPR_3:0.834552 TPR_4:0.642896 Deepfakes
AUC:0.991629 TPR_2:0.917187 TPR_3:0.681633 TPR_4:0.339584 FaceSwap
AUC:0.993946 TPR_2:0.957658 TPR_3:0.877591 TPR_4:0.715119 Face2Face
AUC:0.957827 TPR_2:0.554814 TPR_3:0.338585 TPR_4:0.209772 Test
epoch:005 batch:060000 loss:0.03657 avgloss:0.14201
AUC:0.987361 TPR_2:0.908307 TPR_3:0.828658 TPR_4:0.684194 validset
AUC:0.966356 TPR_2:0.487000 TPR_3:0.137444 TPR_4:0.015556 stylegan_celeba
AUC:0.837770 TPR_2:0.008003 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.845403 TPR_2:0.012886 TPR_3:0.000889 TPR_4:0.000000 faceapp
AUC:0.999490 TPR_2:0.991923 TPR_3:0.906631 TPR_4:0.684251 stargan
AUC:0.954144 TPR_2:0.363545 TPR_3:0.089744 TPR_4:0.005909 pggan_v1
AUC:0.945107 TPR_2:0.274165 TPR_3:0.044321 TPR_4:0.002895 pggan_v2
AUC:0.996968 TPR_2:0.957542 TPR_3:0.852846 TPR_4:0.553819 Deepfakes
AUC:0.994754 TPR_2:0.945745 TPR_3:0.827050 TPR_4:0.622339 FaceSwap
AUC:0.994719 TPR_2:0.969677 TPR_3:0.924999 TPR_4:0.809020 Face2Face
