
Model:xception BatchSize:16 lr:0.000200
epoch:000 batch:003000 loss:0.58690 avgloss:0.59310
AUC:0.962902 TPR_2:0.651793 TPR_3:0.419298 TPR_4:0.247129 Deepfakes
AUC:0.977135 TPR_2:0.756528 TPR_3:0.500765 TPR_4:0.306761 FaceSwap
AUC:0.969224 TPR_2:0.703333 TPR_3:0.424041 TPR_4:0.246603 Face2Face
AUC:0.885614 TPR_2:0.243737 TPR_3:0.149702 TPR_4:0.089020 Test
epoch:002 batch:021000 loss:0.16040 avgloss:0.30740
AUC:0.965387 TPR_2:0.666262 TPR_3:0.431353 TPR_4:0.303064 validset
AUC:0.784477 TPR_2:0.001000 TPR_3:0.000000 TPR_4:0.000000 stylegan_celeba
AUC:0.610490 TPR_2:0.000222 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.640156 TPR_2:0.000222 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.904753 TPR_2:0.112582 TPR_3:0.004883 TPR_4:0.000274 stargan
AUC:0.776020 TPR_2:0.000111 TPR_3:0.000000 TPR_4:0.000000 pggan_v1
AUC:0.765824 TPR_2:0.000557 TPR_3:0.000000 TPR_4:0.000000 pggan_v2
AUC:0.983146 TPR_2:0.752886 TPR_3:0.474639 TPR_4:0.260423 Deepfakes
AUC:0.965060 TPR_2:0.627594 TPR_3:0.358442 TPR_4:0.190747 FaceSwap
AUC:0.982898 TPR_2:0.809426 TPR_3:0.565479 TPR_4:0.357850 Face2Face
AUC:0.823647 TPR_2:0.256067 TPR_3:0.155938 TPR_4:0.089922 Test
epoch:002 batch:024000 loss:0.23794 avgloss:0.28642
AUC:0.976022 TPR_2:0.781547 TPR_3:0.575851 TPR_4:0.369902 validset
AUC:0.927749 TPR_2:0.121111 TPR_3:0.003000 TPR_4:0.000111 stylegan_celeba
AUC:0.819754 TPR_2:0.004891 TPR_3:0.000111 TPR_4:0.000000 stylegan_ffhq
AUC:0.834821 TPR_2:0.004666 TPR_3:0.000222 TPR_4:0.000000 faceapp
AUC:0.940464 TPR_2:0.444941 TPR_3:0.061197 TPR_4:0.004837 stargan
