
Model:xception BatchSize:16 lr:0.000200

Model:xception BatchSize:16 lr:0.000200

Model:xception BatchSize:16 lr:0.000200

Model:xception BatchSize:16 lr:0.000200

Model:xception BatchSize:16 lr:0.000200

Model:xception BatchSize:16 lr:0.000200

Model:xception BatchSize:16 lr:0.000200

Model:xception BatchSize:16 lr:0.000200

Model:xception BatchSize:16 lr:0.000200
AUC:0.876556 TPR_2:0.019329 TPR_3:0.000444 TPR_4:0.000000 faceapp
AUC:0.928586 TPR_2:0.387350 TPR_3:0.087254 TPR_4:0.012550 stargan
AUC:0.963421 TPR_2:0.193868 TPR_3:0.000000 TPR_4:0.000000 pggan_v1
AUC:0.959883 TPR_2:0.155568 TPR_3:0.000445 TPR_4:0.000000 pggan_v2
AUC:0.984418 TPR_2:0.847920 TPR_3:0.670162 TPR_4:0.435078 Deepfakes
AUC:0.987587 TPR_2:0.861816 TPR_3:0.675298 TPR_4:0.454698 FaceSwap
AUC:0.980292 TPR_2:0.847254 TPR_3:0.666986 TPR_4:0.438919 Face2Face
AUC:0.945652 TPR_2:0.396000 TPR_3:0.233646 TPR_4:0.149027 Test
epoch:002 batch:021000 loss:0.24799 avgloss:0.31882
AUC:0.977591 TPR_2:0.814789 TPR_3:0.655947 TPR_4:0.500337 validset
AUC:0.952611 TPR_2:0.296444 TPR_3:0.052111 TPR_4:0.001333 stylegan_celeba
AUC:0.843526 TPR_2:0.014894 TPR_3:0.000445 TPR_4:0.000000 stylegan_ffhq
AUC:0.859209 TPR_2:0.025772 TPR_3:0.002222 TPR_4:0.000000 faceapp
AUC:0.927553 TPR_2:0.306622 TPR_3:0.061562 TPR_4:0.008808 stargan
AUC:0.958116 TPR_2:0.291527 TPR_3:0.047046 TPR_4:0.000223 pggan_v1
AUC:0.951190 TPR_2:0.244098 TPR_3:0.034967 TPR_4:0.000891 pggan_v2
AUC:0.983095 TPR_2:0.818198 TPR_3:0.618704 TPR_4:0.426328 Deepfakes
AUC:0.976918 TPR_2:0.752461 TPR_3:0.533822 TPR_4:0.330424 FaceSwap
AUC:0.990889 TPR_2:0.914257 TPR_3:0.807960 TPR_4:0.673765 Face2Face
AUC:0.938123 TPR_2:0.407141 TPR_3:0.239871 TPR_4:0.160197 Test
epoch:002 batch:024000 loss:0.75203 avgloss:0.29765
AUC:0.984037 TPR_2:0.856788 TPR_3:0.701796 TPR_4:0.568133 validset
AUC:0.952621 TPR_2:0.187889 TPR_3:0.001444 TPR_4:0.000000 stylegan_celeba
AUC:0.844947 TPR_2:0.003223 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.867488 TPR_2:0.011109 TPR_3:0.000222 TPR_4:0.000000 faceapp
AUC:0.972110 TPR_2:0.646922 TPR_3:0.266737 TPR_4:0.063798 stargan
AUC:0.958527 TPR_2:0.202341 TPR_3:0.000669 TPR_4:0.000000 pggan_v1
AUC:0.951417 TPR_2:0.147550 TPR_3:0.001002 TPR_4:0.000000 pggan_v2
AUC:0.992475 TPR_2:0.910040 TPR_3:0.772122 TPR_4:0.620792 Deepfakes
AUC:0.983498 TPR_2:0.816145 TPR_3:0.594699 TPR_4:0.396916 FaceSwap
AUC:0.990400 TPR_2:0.918017 TPR_3:0.810326 TPR_4:0.687409 Face2Face
AUC:0.945943 TPR_2:0.427026 TPR_3:0.271914 TPR_4:0.196546 Test
epoch:002 batch:027000 loss:0.01613 avgloss:0.27991
AUC:0.977847 TPR_2:0.850706 TPR_3:0.706092 TPR_4:0.547939 validset
AUC:0.959811 TPR_2:0.349222 TPR_3:0.060778 TPR_4:0.004222 stylegan_celeba
AUC:0.846381 TPR_2:0.014672 TPR_3:0.000222 TPR_4:0.000000 stylegan_ffhq
AUC:0.865907 TPR_2:0.026661 TPR_3:0.001111 TPR_4:0.000000 faceapp
AUC:0.967597 TPR_2:0.632866 TPR_3:0.307215 TPR_4:0.103272 stargan
AUC:0.956338 TPR_2:0.282386 TPR_3:0.019287 TPR_4:0.000223 pggan_v1
AUC:0.951341 TPR_2:0.234187 TPR_3:0.023608 TPR_4:0.001448 pggan_v2
AUC:0.984594 TPR_2:0.850376 TPR_3:0.688516 TPR_4:0.521420 Deepfakes
AUC:0.988204 TPR_2:0.898094 TPR_3:0.762268 TPR_4:0.589642 FaceSwap
AUC:0.990322 TPR_2:0.919120 TPR_3:0.798830 TPR_4:0.651803 Face2Face
AUC:0.945611 TPR_2:0.467509 TPR_3:0.295759 TPR_4:0.208003 Test
epoch:002 batch:030000 loss:0.15398 avgloss:0.26493
AUC:0.984208 TPR_2:0.839891 TPR_3:0.659408 TPR_4:0.425804 validset
AUC:0.961279 TPR_2:0.164889 TPR_3:0.000778 TPR_4:0.000000 stylegan_celeba
AUC:0.889337 TPR_2:0.003334 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.901492 TPR_2:0.007332 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.973810 TPR_2:0.682380 TPR_3:0.324009 TPR_4:0.113266 stargan
AUC:0.965024 TPR_2:0.172575 TPR_3:0.000334 TPR_4:0.000000 pggan_v1
AUC:0.959941 TPR_2:0.132962 TPR_3:0.000223 TPR_4:0.000000 pggan_v2
AUC:0.988675 TPR_2:0.889598 TPR_3:0.700693 TPR_4:0.505566 Deepfakes
AUC:0.988989 TPR_2:0.868547 TPR_3:0.663673 TPR_4:0.468770 FaceSwap
AUC:0.983712 TPR_2:0.840910 TPR_3:0.615151 TPR_4:0.417059 Face2Face
AUC:0.956917 TPR_2:0.418059 TPR_3:0.256096 TPR_4:0.167185 Test
epoch:003 batch:033000 loss:0.26357 avgloss:0.25203
AUC:0.986192 TPR_2:0.870172 TPR_3:0.730756 TPR_4:0.476799 validset
AUC:0.971243 TPR_2:0.562889 TPR_3:0.216778 TPR_4:0.024333 stylegan_celeba
AUC:0.897203 TPR_2:0.054796 TPR_3:0.003112 TPR_4:0.000222 stylegan_ffhq
AUC:0.900169 TPR_2:0.072206 TPR_3:0.005554 TPR_4:0.000222 faceapp
AUC:0.977180 TPR_2:0.689454 TPR_3:0.356090 TPR_4:0.092091 stargan
AUC:0.978209 TPR_2:0.577703 TPR_3:0.216388 TPR_4:0.021405 pggan_v1
AUC:0.972374 TPR_2:0.515590 TPR_3:0.176058 TPR_4:0.019265 pggan_v2
AUC:0.995732 TPR_2:0.952836 TPR_3:0.845287 TPR_4:0.634528 Deepfakes
AUC:0.980141 TPR_2:0.773803 TPR_3:0.550629 TPR_4:0.319933 FaceSwap
AUC:0.990933 TPR_2:0.915970 TPR_3:0.800993 TPR_4:0.615514 Face2Face
AUC:0.962576 TPR_2:0.568361 TPR_3:0.352321 TPR_4:0.191946 Test
epoch:003 batch:036000 loss:0.03701 avgloss:0.24091
AUC:0.987324 TPR_2:0.900084 TPR_3:0.791765 TPR_4:0.671058 validset
AUC:0.979680 TPR_2:0.538444 TPR_3:0.093111 TPR_4:0.013556 stylegan_celeba
AUC:0.916935 TPR_2:0.032455 TPR_3:0.001445 TPR_4:0.000111 stylegan_ffhq
AUC:0.929383 TPR_2:0.064652 TPR_3:0.002666 TPR_4:0.000222 faceapp
AUC:0.992015 TPR_2:0.876740 TPR_3:0.615251 TPR_4:0.356181 stargan
AUC:0.980557 TPR_2:0.509699 TPR_3:0.079041 TPR_4:0.007469 pggan_v1
AUC:0.975686 TPR_2:0.435523 TPR_3:0.060690 TPR_4:0.006904 pggan_v2
AUC:0.991354 TPR_2:0.918438 TPR_3:0.811477 TPR_4:0.700457 Deepfakes
AUC:0.989487 TPR_2:0.902233 TPR_3:0.765921 TPR_4:0.619928 FaceSwap
AUC:0.993837 TPR_2:0.957731 TPR_3:0.886968 TPR_4:0.802401 Face2Face
AUC:0.972104 TPR_2:0.581768 TPR_3:0.368508 TPR_4:0.278581 Test
epoch:003 batch:039000 loss:0.18267 avgloss:0.23124
AUC:0.986640 TPR_2:0.885424 TPR_3:0.752654 TPR_4:0.593574 validset
AUC:0.959683 TPR_2:0.303556 TPR_3:0.032778 TPR_4:0.000333 stylegan_celeba
AUC:0.858870 TPR_2:0.006113 TPR_3:0.000111 TPR_4:0.000000 stylegan_ffhq
AUC:0.869433 TPR_2:0.010664 TPR_3:0.000444 TPR_4:0.000000 faceapp
AUC:0.981714 TPR_2:0.734039 TPR_3:0.350614 TPR_4:0.077990 stargan
AUC:0.957593 TPR_2:0.273579 TPR_3:0.018618 TPR_4:0.000000 pggan_v1
AUC:0.951066 TPR_2:0.209243 TPR_3:0.011024 TPR_4:0.000111 pggan_v2
AUC:0.991872 TPR_2:0.894348 TPR_3:0.713105 TPR_4:0.466726 Deepfakes
AUC:0.993940 TPR_2:0.935650 TPR_3:0.819276 TPR_4:0.642026 FaceSwap
AUC:0.993191 TPR_2:0.950546 TPR_3:0.840649 TPR_4:0.647376 Face2Face
AUC:0.950818 TPR_2:0.479749 TPR_3:0.309624 TPR_4:0.203840 Test
epoch:004 batch:042000 loss:0.33298 avgloss:0.22261
AUC:0.987638 TPR_2:0.914293 TPR_3:0.808182 TPR_4:0.624171 validset
AUC:0.987967 TPR_2:0.717333 TPR_3:0.184556 TPR_4:0.012667 stylegan_celeba
AUC:0.926572 TPR_2:0.055796 TPR_3:0.000889 TPR_4:0.000000 stylegan_ffhq
AUC:0.926402 TPR_2:0.070429 TPR_3:0.003110 TPR_4:0.000000 faceapp
AUC:0.982396 TPR_2:0.805549 TPR_3:0.569297 TPR_4:0.346552 stargan
AUC:0.985308 TPR_2:0.621628 TPR_3:0.117057 TPR_4:0.002118 pggan_v1
AUC:0.981971 TPR_2:0.542094 TPR_3:0.078285 TPR_4:0.003229 pggan_v2
AUC:0.994049 TPR_2:0.931306 TPR_3:0.813271 TPR_4:0.660750 Deepfakes
AUC:0.993399 TPR_2:0.931457 TPR_3:0.828706 TPR_4:0.695273 FaceSwap
AUC:0.992443 TPR_2:0.950023 TPR_3:0.872061 TPR_4:0.735876 Face2Face
AUC:0.974501 TPR_2:0.625068 TPR_3:0.385248 TPR_4:0.272941 Test
epoch:004 batch:045000 loss:0.08212 avgloss:0.21470
AUC:0.987671 TPR_2:0.892943 TPR_3:0.777707 TPR_4:0.635088 validset
AUC:0.974381 TPR_2:0.507444 TPR_3:0.144556 TPR_4:0.017222 stylegan_celeba
AUC:0.891937 TPR_2:0.017561 TPR_3:0.000667 TPR_4:0.000000 stylegan_ffhq
AUC:0.894266 TPR_2:0.026439 TPR_3:0.002000 TPR_4:0.000000 faceapp
AUC:0.968028 TPR_2:0.570620 TPR_3:0.178205 TPR_4:0.019258 stargan
AUC:0.975105 TPR_2:0.453623 TPR_3:0.122297 TPR_4:0.005909 pggan_v1
AUC:0.968283 TPR_2:0.370045 TPR_3:0.075167 TPR_4:0.005457 pggan_v2
AUC:0.992794 TPR_2:0.908952 TPR_3:0.755827 TPR_4:0.511964 Deepfakes
AUC:0.995667 TPR_2:0.957064 TPR_3:0.881395 TPR_4:0.714959 FaceSwap
AUC:0.993933 TPR_2:0.939674 TPR_3:0.856079 TPR_4:0.688962 Face2Face
AUC:0.961599 TPR_2:0.527936 TPR_3:0.335132 TPR_4:0.218192 Test
epoch:004 batch:048000 loss:0.30560 avgloss:0.20776
AUC:0.988229 TPR_2:0.909487 TPR_3:0.822910 TPR_4:0.696237 validset
AUC:0.949882 TPR_2:0.218222 TPR_3:0.040111 TPR_4:0.006222 stylegan_celeba
AUC:0.817464 TPR_2:0.002223 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.823851 TPR_2:0.006443 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.994025 TPR_2:0.872085 TPR_3:0.618217 TPR_4:0.406015 stargan
AUC:0.936560 TPR_2:0.152285 TPR_3:0.014939 TPR_4:0.000780 pggan_v1
AUC:0.927255 TPR_2:0.097439 TPR_3:0.008686 TPR_4:0.000780 pggan_v2
AUC:0.995931 TPR_2:0.949601 TPR_3:0.844037 TPR_4:0.719591 Deepfakes
AUC:0.995126 TPR_2:0.941030 TPR_3:0.805222 TPR_4:0.638822 FaceSwap
AUC:0.993881 TPR_2:0.954958 TPR_3:0.878796 TPR_4:0.779728 Face2Face
AUC:0.937108 TPR_2:0.466032 TPR_3:0.356668 TPR_4:0.283549 Test
epoch:004 batch:051000 loss:0.04996 avgloss:0.20128
AUC:0.988347 TPR_2:0.899686 TPR_3:0.813493 TPR_4:0.574254 validset
AUC:0.977678 TPR_2:0.492778 TPR_3:0.075444 TPR_4:0.001222 stylegan_celeba
AUC:0.898162 TPR_2:0.012337 TPR_3:0.000222 TPR_4:0.000000 stylegan_ffhq
AUC:0.904920 TPR_2:0.023106 TPR_3:0.000667 TPR_4:0.000000 faceapp
AUC:0.997179 TPR_2:0.955186 TPR_3:0.823256 TPR_4:0.499521 stargan
AUC:0.973756 TPR_2:0.402787 TPR_3:0.044259 TPR_4:0.000000 pggan_v1
AUC:0.967997 TPR_2:0.314143 TPR_3:0.026058 TPR_4:0.000223 pggan_v2
AUC:0.992811 TPR_2:0.937188 TPR_3:0.867803 TPR_4:0.669206 Deepfakes
AUC:0.994594 TPR_2:0.939087 TPR_3:0.838423 TPR_4:0.580825 FaceSwap
AUC:0.992781 TPR_2:0.953667 TPR_3:0.886533 TPR_4:0.722827 Face2Face
AUC:0.966653 TPR_2:0.558920 TPR_3:0.395852 TPR_4:0.274869 Test
epoch:005 batch:054000 loss:0.03398 avgloss:0.19544
AUC:0.991202 TPR_2:0.924394 TPR_3:0.855478 TPR_4:0.714092 validset
AUC:0.990347 TPR_2:0.755778 TPR_3:0.275778 TPR_4:0.030222 stylegan_celeba
AUC:0.943909 TPR_2:0.077026 TPR_3:0.001445 TPR_4:0.000000 stylegan_ffhq
AUC:0.939436 TPR_2:0.074428 TPR_3:0.002222 TPR_4:0.000222 faceapp
AUC:0.997151 TPR_2:0.955688 TPR_3:0.823119 TPR_4:0.578378 stargan
AUC:0.990973 TPR_2:0.728205 TPR_3:0.231884 TPR_4:0.016611 pggan_v1
AUC:0.987564 TPR_2:0.654009 TPR_3:0.154566 TPR_4:0.009577 pggan_v2
AUC:0.994131 TPR_2:0.942512 TPR_3:0.866406 TPR_4:0.740327 Deepfakes
AUC:0.996302 TPR_2:0.966169 TPR_3:0.912922 TPR_4:0.802685 FaceSwap
