
Model:xception BatchSize:16 lr:0.000200

Model:xception BatchSize:16 lr:0.000200
epoch:000 batch:003000 loss:0.56774 avgloss:inf

Model:xception BatchSize:16 lr:0.000200
AUC:0.959911 TPR_2:0.310925 TPR_3:0.010702 TPR_4:0.000000 pggan_v1
AUC:0.956324 TPR_2:0.241203 TPR_3:0.008575 TPR_4:0.000223 pggan_v2
AUC:0.987980 TPR_2:0.894848 TPR_3:0.710325 TPR_4:0.493154 Deepfakes
AUC:0.981618 TPR_2:0.847025 TPR_3:0.682784 TPR_4:0.500261 FaceSwap
AUC:0.989564 TPR_2:0.909569 TPR_3:0.785810 TPR_4:0.620536 Face2Face
AUC:0.948873 TPR_2:0.465051 TPR_3:0.263392 TPR_4:0.182426 Test
epoch:002 batch:021000 loss:0.17817 avgloss:0.19890
AUC:0.984766 TPR_2:0.858754 TPR_3:0.690131 TPR_4:0.471838 validset
AUC:0.983410 TPR_2:0.658889 TPR_3:0.181222 TPR_4:0.028444 stylegan_celeba
AUC:0.924097 TPR_2:0.055352 TPR_3:0.001000 TPR_4:0.000000 stylegan_ffhq
AUC:0.930998 TPR_2:0.102422 TPR_3:0.006665 TPR_4:0.000889 faceapp
AUC:0.961302 TPR_2:0.636335 TPR_3:0.207046 TPR_4:0.051248 stargan
AUC:0.985415 TPR_2:0.630212 TPR_3:0.165886 TPR_4:0.025418 pggan_v1
AUC:0.982495 TPR_2:0.567595 TPR_3:0.127617 TPR_4:0.018374 pggan_v2
AUC:0.992265 TPR_2:0.934629 TPR_3:0.808256 TPR_4:0.647882 Deepfakes
AUC:0.976518 TPR_2:0.780731 TPR_3:0.514567 TPR_4:0.253298 FaceSwap
AUC:0.992130 TPR_2:0.921631 TPR_3:0.819007 TPR_4:0.676624 Face2Face
AUC:0.969848 TPR_2:0.587533 TPR_3:0.314585 TPR_4:0.189131 Test
epoch:002 batch:024000 loss:0.40367 avgloss:0.18645
AUC:0.986227 TPR_2:0.836090 TPR_3:0.667549 TPR_4:0.484901 validset
AUC:0.971985 TPR_2:0.351111 TPR_3:0.028889 TPR_4:0.000778 stylegan_celeba
AUC:0.904475 TPR_2:0.005780 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.913858 TPR_2:0.015774 TPR_3:0.000222 TPR_4:0.000000 faceapp
AUC:0.983196 TPR_2:0.779902 TPR_3:0.396340 TPR_4:0.069593 stargan
AUC:0.973159 TPR_2:0.337235 TPR_3:0.019732 TPR_4:0.000000 pggan_v1
AUC:0.969396 TPR_2:0.249332 TPR_3:0.015590 TPR_4:0.000223 pggan_v2
AUC:0.992803 TPR_2:0.919761 TPR_3:0.771563 TPR_4:0.563275 Deepfakes
AUC:0.983686 TPR_2:0.845819 TPR_3:0.647658 TPR_4:0.408882 FaceSwap
AUC:0.989601 TPR_2:0.914068 TPR_3:0.803446 TPR_4:0.653080 Face2Face
AUC:0.964684 TPR_2:0.490976 TPR_3:0.298160 TPR_4:0.188426 Test
epoch:002 batch:027000 loss:0.03656 avgloss:0.17602
AUC:0.977835 TPR_2:0.837648 TPR_3:0.686247 TPR_4:0.534458 validset
AUC:0.941445 TPR_2:0.091444 TPR_3:0.004556 TPR_4:0.000333 stylegan_celeba
AUC:0.830809 TPR_2:0.000222 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.849495 TPR_2:0.004221 TPR_3:0.000000 TPR_4:0.000000 faceapp
AUC:0.975528 TPR_2:0.663168 TPR_3:0.244010 TPR_4:0.075298 stargan
AUC:0.935189 TPR_2:0.049052 TPR_3:0.000780 TPR_4:0.000000 pggan_v1
AUC:0.929697 TPR_2:0.039532 TPR_3:0.001114 TPR_4:0.000111 pggan_v2
AUC:0.984199 TPR_2:0.827095 TPR_3:0.627998 TPR_4:0.487389 Deepfakes
AUC:0.991654 TPR_2:0.939537 TPR_3:0.808281 TPR_4:0.670440 FaceSwap
AUC:0.988502 TPR_2:0.915186 TPR_3:0.766272 TPR_4:0.629565 Face2Face
AUC:0.936280 TPR_2:0.392162 TPR_3:0.272557 TPR_4:0.207015 Test
epoch:002 batch:030000 loss:0.04484 avgloss:0.16702
AUC:0.985614 TPR_2:0.869366 TPR_3:0.748829 TPR_4:0.629908 validset
AUC:0.968782 TPR_2:0.343000 TPR_3:0.012889 TPR_4:0.000000 stylegan_celeba
AUC:0.873077 TPR_2:0.006224 TPR_3:0.000000 TPR_4:0.000000 stylegan_ffhq
AUC:0.886363 TPR_2:0.015108 TPR_3:0.000222 TPR_4:0.000000 faceapp
AUC:0.985810 TPR_2:0.825583 TPR_3:0.420344 TPR_4:0.069593 stargan
AUC:0.965228 TPR_2:0.301226 TPR_3:0.005240 TPR_4:0.000111 pggan_v1
AUC:0.960330 TPR_2:0.222717 TPR_3:0.007238 TPR_4:0.000111 pggan_v2
AUC:0.987933 TPR_2:0.893260 TPR_3:0.760872 TPR_4:0.586894 Deepfakes
AUC:0.993806 TPR_2:0.941066 TPR_3:0.827644 TPR_4:0.648504 FaceSwap
AUC:0.990203 TPR_2:0.913256 TPR_3:0.799309 TPR_4:0.629943 Face2Face
AUC:0.956837 TPR_2:0.495716 TPR_3:0.314862 TPR_4:0.215017 Test
epoch:003 batch:033000 loss:0.19191 avgloss:0.15942
AUC:0.988004 TPR_2:0.901943 TPR_3:0.809653 TPR_4:0.687359 validset
AUC:0.981771 TPR_2:0.552667 TPR_3:0.231667 TPR_4:0.051556 stylegan_celeba
AUC:0.927098 TPR_2:0.023897 TPR_3:0.002890 TPR_4:0.000333 stylegan_ffhq
AUC:0.928328 TPR_2:0.047989 TPR_3:0.007776 TPR_4:0.000444 faceapp
AUC:0.986241 TPR_2:0.834162 TPR_3:0.514626 TPR_4:0.113768 stargan
AUC:0.979737 TPR_2:0.489967 TPR_3:0.202007 TPR_4:0.043144 pggan_v1
AUC:0.977210 TPR_2:0.441648 TPR_3:0.164031 TPR_4:0.039644 pggan_v2
AUC:0.993609 TPR_2:0.951601 TPR_3:0.868200 TPR_4:0.710487 Deepfakes
AUC:0.986686 TPR_2:0.888917 TPR_3:0.771122 TPR_4:0.558259 FaceSwap
AUC:0.991381 TPR_2:0.937293 TPR_3:0.862147 TPR_4:0.716310 Face2Face
AUC:0.972451 TPR_2:0.574238 TPR_3:0.402718 TPR_4:0.248216 Test
epoch:003 batch:036000 loss:0.06514 avgloss:0.15285
AUC:0.986324 TPR_2:0.867376 TPR_3:0.747091 TPR_4:0.560264 validset
AUC:0.982097 TPR_2:0.501111 TPR_3:0.132222 TPR_4:0.024333 stylegan_celeba
AUC:0.928395 TPR_2:0.022785 TPR_3:0.001111 TPR_4:0.000000 stylegan_ffhq
AUC:0.933462 TPR_2:0.037769 TPR_3:0.001777 TPR_4:0.000000 faceapp
AUC:0.979016 TPR_2:0.770867 TPR_3:0.322457 TPR_4:0.045909 stargan
AUC:0.980897 TPR_2:0.452397 TPR_3:0.114493 TPR_4:0.021182 pggan_v1
AUC:0.978606 TPR_2:0.407127 TPR_3:0.099109 TPR_4:0.026503 pggan_v2
AUC:0.994167 TPR_2:0.945306 TPR_3:0.847920 TPR_4:0.709649 Deepfakes
AUC:0.972046 TPR_2:0.760667 TPR_3:0.526876 TPR_4:0.298879 FaceSwap
AUC:0.994474 TPR_2:0.953376 TPR_3:0.894168 TPR_4:0.800078 Face2Face
AUC:0.971462 TPR_2:0.539045 TPR_3:0.326681 TPR_4:0.214059 Test
epoch:003 batch:039000 loss:0.09037 avgloss:0.14717
AUC:0.988642 TPR_2:0.882977 TPR_3:0.752203 TPR_4:0.579302 validset
AUC:0.971812 TPR_2:0.395222 TPR_3:0.081000 TPR_4:0.014333 stylegan_celeba
AUC:0.900408 TPR_2:0.006113 TPR_3:0.000111 TPR_4:0.000000 stylegan_ffhq
AUC:0.902255 TPR_2:0.009553 TPR_3:0.000222 TPR_4:0.000000 faceapp
AUC:0.989708 TPR_2:0.790033 TPR_3:0.240725 TPR_4:0.053667 stargan
AUC:0.969120 TPR_2:0.345373 TPR_3:0.061873 TPR_4:0.007804 pggan_v1
AUC:0.964578 TPR_2:0.266036 TPR_3:0.038976 TPR_4:0.005791 pggan_v2
AUC:0.995807 TPR_2:0.936688 TPR_3:0.805506 TPR_4:0.659176 Deepfakes
AUC:0.982255 TPR_2:0.828976 TPR_3:0.588832 TPR_4:0.378939 FaceSwap
AUC:0.992801 TPR_2:0.943883 TPR_3:0.851376 TPR_4:0.722319 Face2Face
AUC:0.963194 TPR_2:0.502431 TPR_3:0.296513 TPR_4:0.204670 Test
epoch:004 batch:042000 loss:0.24047 avgloss:0.14219
AUC:0.990260 TPR_2:0.907856 TPR_3:0.819347 TPR_4:0.670082 validset
AUC:0.985701 TPR_2:0.561778 TPR_3:0.119000 TPR_4:0.009222 stylegan_celeba
AUC:0.943245 TPR_2:0.032344 TPR_3:0.000778 TPR_4:0.000000 stylegan_ffhq
AUC:0.943201 TPR_2:0.044657 TPR_3:0.000444 TPR_4:0.000000 faceapp
AUC:0.990917 TPR_2:0.893670 TPR_3:0.646511 TPR_4:0.193401 stargan
AUC:0.984349 TPR_2:0.470569 TPR_3:0.085173 TPR_4:0.004794 pggan_v1
AUC:0.981375 TPR_2:0.407795 TPR_3:0.053898 TPR_4:0.002116 pggan_v2
AUC:0.996300 TPR_2:0.971793 TPR_3:0.912540 TPR_4:0.777505 Deepfakes
AUC:0.990764 TPR_2:0.912670 TPR_3:0.793094 TPR_4:0.592935 FaceSwap
